yearID,lgID,teamID,franchID,divID,G,W,L,name
2010,NL,ARI,ARI,W,162,65,97,Arizona Diamondbacks
2010,NL,ATL,ATL,E,162,91,71,Atlanta Braves
2010,AL,BAL,BAL,E,162,66,96,Baltimore Orioles
2010,AL,BOS,BOS,E,162,89,73,Boston Red Sox
2010,AL,CHA,CHW,C,162,88,74,Chicago White Sox
2010,NL,CHN,CHC,C,162,75,87,Chicago Cubs
2010,NL,CIN,CIN,C,162,91,71,Cincinnati Reds
2010,AL,CLE,CLE,C,162,69,93,Cleveland Indians
2010,NL,COL,COL,W,162,83,79,Colorado Rockies
2010,AL,DET,DET,C,162,81,81,Detroit Tigers
2010,NL,FLO,FLA,E,162,80,82,Florida Marlins
2010,NL,HOU,HOU,C,162,76,86,Houston Astros
2010,AL,KCA,KCR,C,162,67,95,Kansas City Royals
2010,AL,LAA,ANA,W,162,80,82,Los Angeles Angels of Anaheim
2010,NL,LAN,LAD,W,162,80,82,Los Angeles Dodgers
2010,NL,MIL,MIL,C,162,77,85,Milwaukee Brewers
2010,AL,MIN,MIN,C,162,94,68,Minnesota Twins
2010,AL,NYA,NYY,E,162,95,67,New York Yankees
2010,NL,NYN,NYM,E,162,79,83,New York Mets
2010,AL,OAK,OAK,W,162,81,81,Oakland Athletics
2010,NL,PHI,PHI,E,162,97,65,Philadelphia Phillies
2010,NL,PIT,PIT,C,162,57,105,Pittsburgh Pirates
2010,NL,SDN,SDP,W,162,90,72,San Diego Padres
2010,AL,SEA,SEA,W,162,61,101,Seattle Mariners
2010,NL,SFN,SFG,W,162,92,70,San Francisco Giants
2010,NL,SLN,STL,C,162,86,76,St. Louis Cardinals
2010,AL,TBA,TBD,E,162,96,66,Tampa Bay Rays
2010,AL,TEX,TEX,W,162,90,72,Texas Rangers
2010,AL,TOR,TOR,E,162,85,77,Toronto Blue Jays
2010,NL,WAS,WSN,E,162,69,93,Washington Nationals
2011,NL,ARI,ARI,W,162,94,68,Arizona Diamondbacks
2011,NL,ATL,ATL,E,162,89,73,Atlanta Braves
2011,AL,BAL,BAL,E,162,69,93,Baltimore Orioles
2011,AL,BOS,BOS,E,162,90,72,Boston Red Sox
2011,AL,CHA,CHW,C,162,79,83,Chicago White Sox
2011,NL,CHN,CHC,C,162,71,91,Chicago Cubs
2011,NL,CIN,CIN,C,162,79,83,Cincinnati Reds
2011,AL,CLE,CLE,C,162,80,82,Cleveland Indians
2011,NL,COL,COL,W,162,73,89,Colorado Rockies
2011,AL,DET,DET,C,162,95,67,Detroit Tigers
2011,NL,FLO,FLA,E,162,72,90,Florida Marlins
2011,NL,HOU,HOU,C,162,56,106,Houston Astros
2011,AL,KCA,KCR,C,162,71,91,Kansas City Royals
2011,AL,LAA,ANA,W,162,86,76,Los Angeles Angels of Anaheim
2011,NL,LAN,LAD,W,161,82,79,Los Angeles Dodgers
2011,NL,MIL,MIL,C,162,96,66,Milwaukee Brewers
2011,AL,MIN,MIN,C,162,63,99,Minnesota Twins
2011,AL,NYA,NYY,E,162,97,65,New York Yankees
2011,NL,NYN,NYM,E,162,77,85,New York Mets
2011,AL,OAK,OAK,W,162,74,88,Oakland Athletics
